ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
39-1_5-20,0.1700251,0.3081723,-0.19565567,-0.042301565,-0.06887396,-0.092659324,-0.08549521,-0.3502016,0.31517714,0.25634202,2020-05-01,2,Agf39,39-1,480,2021-09-01
39-1_7-20,0.057723712,0.3400587,-0.06349516,0.18473773,0.090821415,-0.2224278,-0.14961508,-0.08941571,0.18668836,0.12973167,2020-07-01,4,Agf39,39-1,420,2021-09-01
40-1_5-20,0.12255706,0.26937506,-0.07065876,0.14839958,-0.039146915,-0.25093403,-0.098777145,-0.16670299,0.18430775,0.27682048,2020-05-01,2,Agf40,40-1,480,2021-09-01
40-1_7-20,0.038854685,0.30237043,-0.080870606,0.10179572,-0.068601966,-0.2577458,-0.15312853,-0.117785685,0.0841335,0.22763206,2020-07-01,4,Agf40,40-1,420,2021-09-01
40-2_5-20,-0.1363467,0.21518958,-0.00087504834,0.14735083,-0.0019387403,-0.4368858,-0.107518286,-0.015443899,-0.02516362,0.1345169,2020-05-01,2,Agf40,40-2,480,2021-09-01
40-2_7-20,0.09408377,0.4005971,-0.32007992,0.053910404,-0.22056156,-0.2995128,-0.16104448,-0.38026115,0.16093703,0.3842557,2020-07-01,4,Agf40,40-2,420,2021-09-01
41-0_5-20,-0.06810044,0.06743203,-0.0133902095,0.18754658,0.11387653,-0.26544285,-0.22991925,-0.05544722,0.020419866,0.021145247,2020-05-01,2,Agf41,41-0,480,2021-09-01
41-0_7-20,-0.14247768,0.15508036,0.02243311,0.17966785,0.013054112,-0.4604847,-0.08753443,0.13763678,-0.080585,-0.044100787,2020-07-01,4,Agf41,41-0,420,2021-09-01
42-1_5-20,0.041629914,0.20950931,-0.1365836,0.11734721,-0.0020472438,-0.28497857,-0.27471793,-0.40154603,0.104394786,0.30315343,2020-05-01,2,Agf42,42-1,480,2021-09-01
42-1_7-20,-0.27653068,0.29123607,0.007770121,0.25611746,0.026925987,-0.401569,-0.0407558,0.19210446,-0.0069736987,-0.03088564,2020-07-01,4,Agf42,42-1,420,2021-09-01
43-0_5-20,0.030639324,0.3412479,-0.21945411,0.16333857,-0.15210634,-0.23078096,-0.15968286,-0.25761774,0.16262157,0.26026356,2020-05-01,2,Agf43,43-0,480,2021-09-01
43-0_7-20,0.029089708,0.3049869,-0.05172815,0.08736876,-0.10930743,-0.41284603,-0.20867161,-0.10303974,-0.028974444,0.27911693,2020-07-01,4,Agf43,43-0,420,2021-09-01
43-1_5-20,0.20504113,0.32141265,-0.27009597,0.075521566,-0.12932773,-0.24660107,-0.22375108,-0.48592624,0.19095738,0.39880866,2020-05-01,2,Agf43,43-1,480,2021-09-01
43-1_7-20,-0.15895636,0.17656915,0.0680617,0.08470484,0.03820537,-0.30932897,-0.10664875,0.049549155,0.03505545,-0.0035732873,2020-07-01,4,Agf43,43-1,420,2021-09-01
