ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
45-0_7-20,-0.09259468,0.0595584,0.13307333,0.123791195,0.031971276,-0.41293725,-0.34495705,0.113862224,-0.16963981,-0.15138784
45-1_5-20,0.11743723,0.29584798,-0.073464006,0.17853276,0.08883424,-0.27695245,-0.23066175,-0.18520123,0.13965608,0.2815427
45-2_5-20,0.019950997,0.23913041,-0.096468635,0.010630444,-0.07703055,-0.2819324,-0.041157015,-0.17854609,0.17574115,0.21025977
45-2_7-20,-0.06394832,0.26250508,0.032170057,0.044632114,0.07593477,-0.31525397,-0.1261463,-0.014817804,0.11981906,0.13906504
46-0_5-20,0.06982459,0.3942081,-0.034259077,0.22746903,-0.03320436,-0.29321235,-0.1519927,-0.19305548,0.16779146,0.30504748
46-0_7-20,-0.06669452,0.1799877,0.003364347,0.21607538,0.14520706,-0.2543757,-0.29364842,-0.14869119,0.086258605,0.053838644
46-1_5-20,-0.12984277,0.24043295,-0.01803634,0.14519627,-0.0177292,-0.46666822,-0.10222751,-0.0630115,-0.021371514,0.19219868
46-1_7-20,-0.08266336,0.2067763,-0.031581685,0.14901607,-0.0409597,-0.34037048,-0.12465452,-0.07086927,0.08192754,0.1295605
47-0_5-20,-0.20250803,0.1850475,-0.06315281,0.14403355,-0.022514243,-0.46618447,-0.08110523,-0.13555351,0.023827732,0.15340339
47-0_7-20,0.042279158,0.27335107,-0.1853551,0.09202617,-0.001314793,-0.19380176,-0.24272081,-0.3346595,0.20427832,0.1555759
47-1_5-20,0.063665316,0.32833233,-0.17778552,0.03015837,-0.16388585,-0.3963393,-0.13298352,-0.27333525,0.076415166,0.32772067
47-1_7-20,-0.19352174,0.13238704,0.054840274,0.25831604,0.17638545,-0.38281444,-0.18936118,-0.06400518,-0.0048621744,0.06554276
